samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_COCKAREL_0020_Ln_P_PE_285_WT	0.056679	99.9	1.689	0.8553546	74.2	11.5427	16.2019	54.9845	17.2709	97.6088	27.7447	20.6106	0.983077	0.88114	8.1	PROJECT_COCKAREL	LY_FL_254	180704_M00146_0079_000000000-D4JY4
PROJECT_COCKAREL_0020_Ln_P_PE_337_WT	0.083309	99.5	2.292	1.2517598	87	5.3533	54.7298	27.4633	12.4535	97.5933	60.0832	52.3167	0.959459	0.813333	54.3	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0021_Ln_P_PE_286_WT	0.067022	99.9	1.656	1.0117604	75.9	9.4555	14.4547	59.3177	16.7721	97.4117	23.9102	18.1589	0.983381	1.232923	6.6	PROJECT_COCKAREL	LY_FL_255	180704_M00146_0079_000000000-D4JY4
PROJECT_COCKAREL_0021_Ln_P_PE_322_WT	0.065775	99.6	2.066	0.9899258	84.4	5.1746	48.2091	33.6926	12.9236	97.4075	53.3838	45.1003	0.953176	1.03252	45.7	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0022_Ln_P_PE_315_WT	0.034735	99.8	1.406	0.5239398	83.1	9.7088	16.6546	57.3002	16.3364	96.287	26.3633	21.9219	0.778175	0.945652	8.9	PROJECT_COCKAREL	LY_FL_256	180724_M00146_0081_000000000-D4KDT
PROJECT_COCKAREL_0022_Ln_P_PE_344_WT	0.081299	99.6	1.848	1.2238248	86.7	4.9899	40.1515	40.9128	13.9458	96.4554	45.1414	39.1486	0.891359	1.280702	37.5	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0023_Ln_P_PE_311_WT	0.035	99.5	1.714	0.526084	81.3	5.9844	37.3322	43.3938	13.2895	96.4452	43.3167	35.2573	0.780091	0.97006	30.5	PROJECT_COCKAREL	LY_FL_257	180724_M00146_0081_000000000-D4KDT
PROJECT_COCKAREL_0023_Ln_P_PE_326_WT	0.043944	99.6	1.808	0.6611686	83.2	4.506	41.0744	41.2945	13.1252	96.6194	45.5804	37.9571	1.136995	0.554687	37.5	PROJECT_COCKAREL	180413	180517_M00753_0047_000000000-D3WJ3
PROJECT_COCKAREL_0024_Ln_P_PE_305_WT	0.030304	99.5	1.782	0.455416	82.8	6.6298	50.5422	30.8147	12.0134	97.0791	57.172	47.3915	0.78635	0.921053	45.6	PROJECT_COCKAREL	LY_FL_258	180724_M00146_0081_000000000-D4KDT
PROJECT_COCKAREL_0024_Ln_P_PE_316_WT	0.097151	99.7	2.003	1.4627068	82.2	6.6943	43.1705	36.8005	13.3347	97.2628	49.8648	40.9895	0.865398	1.031915	37.7	PROJECT_COCKAREL	LY_FL_258	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0025_Ln_P_PE_281_WT	0.037344	99.7	1.709	0.5627166	79.9	5.6563	29.5287	50.8003	14.0147	97.3855	35.185	28.1198	1.176722	2.871642	23.6	PROJECT_COCKAREL	180413	180517_M00753_0047_000000000-D3WJ3
PROJECT_COCKAREL_0026_Ln_P_PE_317_WT	0.032719	99.5	1.67	0.4916862	85	3.5194	39.1862	44.3404	12.9541	96.7291	42.7056	36.337	0.945011	0.716703	34.2	PROJECT_COCKAREL	180413	180517_M00753_0047_000000000-D3WJ3
PROJECT_COCKAREL_0027_Ln_P_PE_282_WT	0.058904	99.9	1.679	0.889239	75.3	9.575	13.7256	61.4746	15.2247	97.1019	23.3007	17.5611	1.017648	0.976556	6.1	PROJECT_COCKAREL	LY_FL_261	180704_M00146_0079_000000000-D4JY4
PROJECT_COCKAREL_0027_Ln_P_PE_344_WT	0.077669	99.6	1.997	1.1690722	84.6	5.375	45.8949	36.8127	11.9174	97.2439	51.2699	43.3759	0.945294	0.740144	42.3	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0030_Ln_P_PE_274_WT	0.064947	99.8	1.947	0.9794162	72.3	3.4242	23.95	59.2664	13.3594	96.6741	27.3742	19.7963	1.027186	0.401914	16.7	PROJECT_COCKAREL	LY_FL_264	180704_M00146_0079_000000000-D4JY4
